id	longitude	latitude	WorldClim: Precipitation - annual	WorldClim: Precipitation - coldest quarter	WorldClim: Precipitation - driest month	WorldClim: Precipitation - driest quarter	WorldClim: Precipitation - seasonality	WorldClim: Precipitation - warmest quarter	WorldClim: Precipitation - wettest month	WorldClim: Precipitation - wettest quarter	WorldClim: Temperature - annual mean	WorldClim: Temperature - annual range	WorldClim: Temperature - coldest month min	WorldClim: Temperature - coldest quarter mean	WorldClim: Temperature - diurnal range mean	WorldClim: Temperature - driest quarter mean	WorldClim: Temperature - isothermality	WorldClim: Temperature - seasonality	WorldClim: Temperature - warmest month max	WorldClim: Temperature - warmest quarter mean	WorldClim: Temperature - wettest quarter mean
Amp	0.57046	40.72608	535	95	13	87	42	121	82	206	170	245	54	111	93	240	37	5280	299	242	171
Ant	1.30912	38.98501	454	127	4	41	51	76	77	192	174	221	69	114	78	238	35	5106	290	243	154
Aqe	-4.49183	37.05709	598	246	3	21	63	21	90	260	162	269	45	94	104	238	38	5704	314	238	102
Arc	-2.20273	42.58087	643	166	34	125	18	125	68	185	126	257	14	56	101	198	39	5583	271	198	93
Ari-1	147.35881	-34.426273	554	137	36	125	13	125	57	152	159	292	27	86	132	234	45	5750	319	234	121
Arn	0.72985	42.25651	778	153	46	153	19	204	85	236	113	267	-7	37	99	37	37	5957	260	190	135
Arn1	0.72985	42.25651	778	153	46	153	19	204	85	236	113	267	-7	37	99	37	37	5957	260	190	135
Bai	-3.80247	38.09331	478	170	3	21	55	21	71	181	174	310	45	92	112	264	36	6729	355	264	104
Bal-P1	38.884777	37.879665	545	245	1	7	70	11	89	245	161	367	-4	42	105	279	28	9300	363	279	42
Ban	-0.57992	42.58062	778	193	43	163	15	167	83	217	97	254	-17	29	100	167	39	5394	237	167	115
Bar	0.14636	42.04063	501	96	27	96	23	116	61	156	129	278	4	52	107	52	38	5979	282	206	153
BD1-1	27.607943	39.190956	651	314	8	34	68	34	126	314	154	312	16	66	119	246	38	7117	328	246	66
Bd11-1 Bd11-2	51.625957	29.620922	254	158	0	0	106	1	62	164	218	374	42	101	128	259	34	8976	416	333	129
Bd12-1 Bd12-2	48.806763	31.697792	296	175	0	0	100	0	69	175	255	393	71	138	155	361	39	8725	464	361	138
Bd13-1 Bd13-2	35.10544	31.552794	512	325	0	0	109	0	125	325	160	254	42	89	114	222	44	5312	296	222	89
Bd14-1 Bd14-2	49.031982	31.43335	289	174	0	0	99	0	65	174	256	387	74	138	153	361	39	8734	461	361	138
Bd15-1 Bd15-2	48.639984	33.135098	450	228	0	0	86	0	91	228	193	403	13	84	156	304	38	8599	416	304	84
Bd16-1	48.23393	32.196243	311	172	0	0	97	0	72	180	245	398	61	130	156	355	39	8758	459	355	148
Bd17-1 Bd17-2	46.976597	33.721012	410	186	0	0	82	0	70	198	161	401	-15	52	160	269	39	8459	386	269	64
Bd18-1	33.72923	39.36649	453	166	5	27	50	47	65	166	101	313	-44	2	107	191	34	7444	269	193	2
Bd19-2	71.802864	33.901196	485	110	13	52	57	170	88	193	220	372	30	113	137	172	36	7907	402	314	300
BD2-3	44.403076	33.760883	171	87	0	0	86	0	31	88	228	392	45	113	152	337	38	8764	437	337	127
Bd20-1 Bd20-2	-6.240234	31.54109	604	196	14	53	43	69	76	215	67	393	-102	-19	165	166	41	7323	291	166	-11
BD21	44.403076	33.760883	171	87	0	0	86	0	31	88	228	392	45	113	152	337	38	8764	437	337	127
Bd21	43.253174	35.259075	247	124	0	0	87	0	45	126	211	396	33	95	148	327	37	9089	429	327	108
BD21-3	44.403076	33.760883	171	87	0	0	86	0	31	88	228	392	45	113	152	337	38	8764	437	337	127
Bd22-1 Bd22-2	36.013184	33.993473	792	476	1	3	97	3	181	476	140	307	3	53	117	225	38	6818	310	225	53
Bd25-1 Bd25-2	35.046127	32.728413	711	403	0	0	110	2	189	477	185	222	77	119	89	242	40	5085	299	245	119
Bd26-1 Bd26-2 26	-58.24951	-33.79741	896	179	53	174	19	246	96	266	169	236	60	111	106	119	44	4491	296	228	193
Bd27-1 BD27-2	10.17334	49.82381	632	138	39	127	19	201	75	201	89	270	-33	1	88	14	32	6701	237	173	173
BD29-1	33.55639	44.515278	513	152	33	103	19	131	61	161	111	288	-23	21	86	96	29	7184	265	204	40
BD3-1	44.403076	33.760883	171	87	0	0	86	0	31	88	228	392	45	113	152	337	38	8764	437	337	127
BD30-1	-3.5586112	36.990555	462	172	5	23	53	23	64	178	148	305	20	74	117	233	38	6227	325	233	83
Bd4-1 Bd4-2	18.371887	-33.381573	441	197	10	41	60	42	69	202	165	189	75	125	105	201	55	3017	264	201	132
Bd5-1 Bd5-2	71.20514	34.07399	461	112	8	50	68	72	96	230	191	352	14	83	124	199	35	8163	366	292	137
Bd6-1 Bd6-2	65.70717	31.606026	172	124	0	1	129	2	62	132	190	415	-6	72	173	240	41	8977	409	306	94
Bd7-1 Bd7-2	63.889618	32.023212	114	69	0	0	106	0	29	77	182	416	-16	66	173	296	41	8811	400	296	92
Bd8-1 Bd8-2	65.116646	32.322163	174	107	0	0	112	0	45	124	177	414	-16	60	173	291	41	8866	398	291	82
Bd9-1 Bd9-2	69.148636	34.52579	327	121	1	9	96	9	78	207	121	407	-82	1	150	229	36	8752	325	229	65
Bdis03	0.0176	41.4651	403	72	17	72	31	84	53	129	145	283	18	70	107	70	37	6079	301	225	170
Bdis05	-0.18278	41.78622	405	74	19	74	28	86	53	129	136	278	12	61	106	61	38	5955	290	213	160
Bdis22	-0.89319	42.61005	774	209	39	151	18	151	83	228	113	257	-2	43	102	184	39	5502	255	184	80
Bdis23	-0.95909	42.60873	790	216	40	153	18	153	86	234	112	258	-3	42	102	184	39	5533	255	184	79
Bdis25	-1.30484	42.63651	857	252	41	154	22	154	102	267	119	264	2	48	103	193	39	5670	266	193	57
Bdis28	-2.20273	42.58087	643	166	34	125	18	125	68	185	126	257	14	56	101	198	39	5583	271	198	93
Bdis31	0.8775	42.09763	656	120	36	120	23	174	75	206	126	273	2	47	100	47	36	6132	275	204	149
Bdis32	1.21092	41.76073	597	106	31	106	26	147	70	185	137	256	21	63	90	63	35	5899	277	213	157
Bdis402	-0.756469	41.60588	352	69	16	69	28	73	46	115	149	284	23	71	105	71	36	6191	307	229	173
BdTR10a	31.309364	38.42966	539	185	13	47	41	73	67	185	103	310	-35	12	110	190	35	7074	275	193	12
BdTR10b	32.404575	38.428047	366	113	6	26	45	40	49	133	107	344	-48	9	132	197	38	7445	296	201	98
BdTR10c	31.88491	37.778233	505	201	9	35	48	50	74	201	100	329	-50	3	116	192	35	7520	279	196	3
BdTR10d	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR10e	39.030434	37.117367	435	219	0	2	78	4	78	219	180	374	16	68	130	291	34	8818	390	294	68
BdTR10f	39.58242	37.761547	673	299	2	8	71	8	108	299	147	379	-23	26	112	269	29	9535	356	269	26
BdTR10g	40.130695	37.437187	556	256	0	3	75	6	91	256	163	394	-10	46	135	280	34	9244	384	282	46
BdTR10h	40.658566	38.095417	589	244	1	7	69	11	87	250	156	401	-20	34	131	277	32	9510	381	278	47
BdTR10i	41.244175	37.4588	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR10j	41.773636	37.79769	657	283	1	7	73	9	100	290	176	388	6	57	123	295	31	9316	394	295	69
BdTR10k	42.321888	38.096928	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR10m	27.476892	41.421627	599	204	18	74	38	86	80	229	128	295	-4	42	110	208	37	6668	291	212	60
BdTR10n	26.931469	41.08532	666	245	17	73	42	81	94	259	134	299	0	48	109	216	36	6820	299	221	64
BdTR10o	28.040197	39.738163	671	290	12	50	56	53	112	292	132	295	0	46	109	216	36	6834	295	220	64
BdTR11a	28.031319	38.416782	816	413	11	44	70	49	162	413	118	304	-14	34	116	204	38	6839	290	207	34
BdTR11b	27.476892	41.421627	599	204	18	74	38	86	80	229	128	295	-4	42	110	208	37	6668	291	212	60
BdTR11c	26.931469	41.08532	666	245	17	73	42	81	94	259	134	299	0	48	109	216	36	6820	299	221	64
BdTR11d	41.244175	37.4588	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR11e	41.773636	37.79769	657	283	1	7	73	9	100	290	176	388	6	57	123	295	31	9316	394	295	69
BdTR11f	42.321888	38.096928	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR11g	27.476892	41.421627	599	204	18	74	38	86	80	229	128	295	-4	42	110	208	37	6668	291	212	60
BdTR11h	26.931469	41.08532	666	245	17	73	42	81	94	259	134	299	0	48	109	216	36	6820	299	221	64
BdTR11i	28.040197	39.738163	671	290	12	50	56	53	112	292	132	295	0	46	109	216	36	6834	295	220	64
BdTR12a	32.962975	36.78303	648	293	9	31	60	50	109	293	76	304	-64	-18	101	165	33	7251	240	167	-18
BdTR12b	34.63614	40.40553	466	146	11	48	41	76	64	164	96	326	-52	-1	121	183	37	7277	274	186	132
BdTR12c	34.65032	39.74818	422	146	7	35	43	54	53	146	106	343	-49	10	132	196	38	7353	294	199	10
BdTR13a	32.43235	39.756485	366	121	9	37	39	54	47	121	120	336	-31	21	123	212	36	7524	305	215	21
BdTR13b	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR13c	32.98812	39.412857	396	133	6	30	46	46	56	142	101	331	-49	-2	113	196	34	7758	282	198	93
BdTR13d	33.519604	37.767857	313	104	3	16	49	28	43	115	108	353	-53	9	141	198	39	7505	300	203	103
BdTR13e	34.071407	37.108852	581	218	9	32	52	55	82	218	50	317	-94	-45	107	140	33	7338	223	143	-45
BdTR13f	35.188507	39.09212	406	123	7	32	45	55	55	150	87	340	-70	-9	131	171	38	7137	270	175	81
BdTR13g	35.159534	38.404682	395	121	5	26	48	45	54	150	110	337	-42	14	129	198	38	7240	295	200	102
BdTR13h	41.244175	37.4588	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR13i	41.773636	37.79769	657	283	1	7	73	9	100	290	176	388	6	57	123	295	31	9316	394	295	69
BdTR13j	42.321888	38.096928	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR13k	42.321888	38.096928	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR13m	43.445854	37.47451	760	281	3	12	69	12	122	347	95	373	-78	-27	101	216	27	9541	295	216	18
BdTR13n	44.53525	36.766457	768	390	0	1	89	1	153	426	168	388	-8	47	124	289	31	9520	380	289	57
BdTR13o	42.321888	38.096928	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR1A	27.476892	41.421627	599	204	18	74	38	86	80	229	128	295	-4	42	110	208	37	6668	291	212	60
BdTR1B	26.931469	41.08532	666	245	17	73	42	81	94	259	134	299	0	48	109	216	36	6820	299	221	64
BdTR1C	28.040197	39.738163	671	290	12	50	56	53	112	292	132	295	0	46	109	216	36	6834	295	220	64
BdTR1D	28.585117	38.764107	661	328	7	39	68	41	134	328	136	297	4	52	116	218	39	6638	301	221	52
BdTR1E	28.031319	38.416782	816	413	11	44	70	49	162	413	118	304	-14	34	116	204	38	6839	290	207	34
BdTR1f	27.476892	41.421627	599	204	18	74	38	86	80	229	128	295	-4	42	110	208	37	6668	291	212	60
BdTR1g	26.931469	41.08532	666	245	17	73	42	81	94	259	134	299	0	48	109	216	36	6820	299	221	64
BdTR1h	28.040197	39.738163	671	290	12	50	56	53	112	292	132	295	0	46	109	216	36	6834	295	220	64
BdTR1i	28.583061	38.093063	703	359	9	40	70	44	141	359	138	305	3	51	116	225	38	6942	308	228	51
BdTR1j	28.585209	37.427288	866	481	7	31	81	37	186	481	158	325	17	69	125	250	38	7216	342	253	69
BdTR1k	29.678045	39.759495	676	261	16	65	44	79	100	261	100	289	-31	15	107	177	37	6470	258	180	15
BdTR1m	30.252481	39.086723	486	166	12	49	38	68	64	166	106	312	-33	14	114	192	36	7056	279	195	14
BdTR1n	30.245586	38.09987	505	192	11	43	44	59	73	192	121	318	-18	32	122	211	38	7043	300	212	32
BdTR2a	30.788631	39.75295	429	138	12	46	37	69	54	140	104	312	-38	8	108	193	34	7307	274	196	95
BdTR2b	31.331114	40.082096	458	149	16	58	33	80	57	149	122	309	-19	27	109	209	35	7216	290	212	27
BdTR2c	31.8915	39.085804	387	115	8	37	38	58	49	133	117	317	-26	23	114	204	35	7147	291	207	107
BdTR2d	31.309364	38.42966	539	185	13	47	41	73	67	185	103	310	-35	12	110	190	35	7074	275	193	12
BdTR2e	32.404575	38.428047	366	113	6	26	45	40	49	133	107	344	-48	9	132	197	38	7445	296	201	98
BdTR2f	31.88491	37.778233	505	201	9	35	48	50	74	201	100	329	-50	3	116	192	35	7520	279	196	3
BdTR2g	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR2h	32.43235	39.756485	366	121	9	37	39	54	47	121	120	336	-31	21	123	212	36	7524	305	215	21
BdTR2i	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR2j	32.98812	39.412857	396	133	6	30	46	46	56	142	101	331	-49	-2	113	196	34	7758	282	198	93
BdTR2k	34.071762	38.757988	385	131	5	23	48	43	50	140	105	334	-48	7	123	196	36	7471	286	199	95
BdTR2m	34.09455	38.097996	326	92	5	20	51	40	51	134	90	342	-65	-8	128	180	37	7435	277	184	82
BdTR2n	33.519604	37.767857	313	104	3	16	49	28	43	115	108	353	-53	9	141	198	39	7505	300	203	103
BdTR2o	32.43235	39.756485	366	121	9	37	39	54	47	121	120	336	-31	21	123	212	36	7524	305	215	21
BdTR2p	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR2r	32.98812	39.412857	396	133	6	30	46	46	56	142	101	331	-49	-2	113	196	34	7758	282	198	93
BdTR2s	34.071762	38.757988	385	131	5	23	48	43	50	140	105	334	-48	7	123	196	36	7471	286	199	95
BdTR3a	33.519604	37.767857	313	104	3	16	49	28	43	115	108	353	-53	9	141	198	39	7505	300	203	103
BdTR3b	34.071407	37.108852	581	218	9	32	52	55	82	218	50	317	-94	-45	107	140	33	7338	223	143	-45
BdTR3c	32.962975	36.78303	648	293	9	31	60	50	109	293	76	304	-64	-18	101	165	33	7251	240	167	-18
BdTR3d	34.63614	40.40553	466	146	11	48	41	76	64	164	96	326	-52	-1	121	183	37	7277	274	186	132
BdTR3e	34.65032	39.74818	422	146	7	35	43	54	53	146	106	343	-49	10	132	196	38	7353	294	199	10
BdTR3f	35.188507	39.09212	406	123	7	32	45	55	55	150	87	340	-70	-9	131	171	38	7137	270	175	81
BdTR3g	35.159534	38.404682	395	121	5	26	48	45	54	150	110	337	-42	14	129	198	38	7240	295	200	102
BdTR3h	35.202652	37.778675	719	249	13	46	51	81	94	273	-2	326	-151	-101	106	89	32	7520	175	90	-15
BdTR3i	36.815792	39.747593	428	124	7	32	47	55	62	165	83	352	-79	-21	128	173	36	7628	273	175	78
BdTR3j	36.28247	38.757034	471	135	10	39	43	66	64	175	56	358	-107	-48	129	148	36	7658	251	149	50
BdTR3k	37.39083	38.42003	479	159	6	23	52	40	61	178	76	378	-95	-35	132	176	34	8299	283	178	67
BdTR3m	37.889877	37.766113	564	280	2	9	74	13	101	280	157	372	-8	43	120	270	32	8934	364	272	43
BdTR3n	36.81932	37.43455	711	362	3	15	76	16	127	362	157	348	-2	51	120	260	34	8250	346	261	51
BdTR3o	39.030434	37.117367	435	219	0	2	78	4	78	219	180	374	16	68	130	291	34	8818	390	294	68
BdTR3p	39.58242	37.761547	673	299	2	8	71	8	108	299	147	379	-23	26	112	269	29	9535	356	269	26
BdTR3r	40.130695	37.437187	556	256	0	3	75	6	91	256	163	394	-10	46	135	280	34	9244	384	282	46
BdTR3s	40.658566	38.095417	589	244	1	7	69	11	87	250	156	401	-20	34	131	277	32	9510	381	278	47
BdTR3t	41.244175	37.4588	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR4C	42.321888	38.096916	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR4E	41.244167	37.458805	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR4F	41.244167	37.458805	670	299	0	4	75	8	101	301	165	385	-4	47	120	286	31	9422	381	286	56
BdTR4G	42.321888	38.096916	889	336	4	18	65	18	130	375	96	347	-58	-12	100	208	28	8671	289	208	24
BdTR4J	44.53525	36.766445	768	390	0	1	89	1	153	426	168	388	-8	47	124	289	31	9520	380	289	57
BdTR5a	44.53525	36.766457	768	390	0	1	89	1	153	426	168	388	-8	47	124	289	31	9520	380	289	57
BdTR5b	35.202652	37.778675	719	249	13	46	51	81	94	273	-2	326	-151	-101	106	89	32	7520	175	90	-15
BdTR5c	36.815792	39.747593	428	124	7	32	47	55	62	165	83	352	-79	-21	128	173	36	7628	273	175	78
BdTR5d	32.404575	38.428047	366	113	6	26	45	40	49	133	107	344	-48	9	132	197	38	7445	296	201	98
BdTR5e	31.88491	37.778233	505	201	9	35	48	50	74	201	100	329	-50	3	116	192	35	7520	279	196	3
BdTR5f	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5g	32.43235	39.756485	366	121	9	37	39	54	47	121	120	336	-31	21	123	212	36	7524	305	215	21
BdTR5h	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR5i	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5j	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5k	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5m	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5n	32.985367	40.393646	636	222	20	67	41	100	84	222	66	307	-77	-31	102	153	33	7218	230	154	-31
BdTR5o	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR6K	33.310524	37.45996	347	126	4	16	52	28	46	126	115	346	-43	16	136	206	39	7538	303	210	16
BdTR7a	34.65032	39.74818	422	146	7	35	43	54	53	146	106	343	-49	10	132	196	38	7353	294	199	10
BdTR7b	35.188507	39.09212	406	123	7	32	45	55	55	150	87	340	-70	-9	131	171	38	7137	270	175	81
BdTR8a	33.53788	39.75445	401	135	7	33	44	52	55	138	113	328	-36	11	114	207	34	7718	292	210	106
BdTR8c	32.98812	39.412857	396	133	6	30	46	46	56	142	101	331	-49	-2	113	196	34	7758	282	198	93
BdTR8f	33.519604	37.767857	313	104	3	16	49	28	43	115	108	353	-53	9	141	198	39	7505	300	203	103
BdTR8i	34.071407	37.108852	581	218	9	32	52	55	82	218	50	317	-94	-45	107	140	33	7338	223	143	-45
BdTR8m	35.188507	39.09212	406	123	7	32	45	55	55	150	87	340	-70	-9	131	171	38	7137	270	175	81
BdTR8n	35.159534	38.404682	395	121	5	26	48	45	54	150	110	337	-42	14	129	198	38	7240	295	200	102
BdTR9a	36.815792	39.747593	428	124	7	32	47	55	62	165	83	352	-79	-21	128	173	36	7628	273	175	78
BdTR9b	28.040197	39.738163	671	290	12	50	56	53	112	292	132	295	0	46	109	216	36	6834	295	220	64
BdTR9c	28.585117	38.764107	661	328	7	39	68	41	134	328	136	297	4	52	116	218	39	6638	301	221	52
BdTR9e	28.583061	38.093063	703	359	9	40	70	44	141	359	138	305	3	51	116	225	38	6942	308	228	51
BdTR9f	28.585209	37.427288	866	481	7	31	81	37	186	481	158	325	17	69	125	250	38	7216	342	253	69
BdTR9g	29.678045	39.759495	676	261	16	65	44	79	100	261	100	289	-31	15	107	177	37	6470	258	180	15
BdTR9h	30.252481	39.086723	486	166	12	49	38	68	64	166	106	312	-33	14	114	192	36	7056	279	195	14
BdTR9i	30.245586	38.09987	505	192	11	43	44	59	73	192	121	318	-18	32	122	211	38	7043	300	212	32
BdTR9j	30.233116	37.12724	463	204	8	30	55	40	74	204	125	324	-22	35	125	216	38	7148	302	218	35
BdTR9k	30.788631	39.75295	429	138	12	46	37	69	54	140	104	312	-38	8	108	193	34	7307	274	196	95
BdTR9m	31.331114	40.082096	458	149	16	58	33	80	57	149	122	309	-19	27	109	209	35	7216	290	212	27
Bel	-0.74159	41.29946	370	67	18	67	32	82	53	126	136	277	11	60	102	60	36	6116	288	215	158
Ben	-5.44167	36.75583	819	351	2	22	67	31	124	361	145	264	32	79	104	216	39	5465	296	219	89
Bie	-0.09075	42.17305	528	106	28	106	21	118	64	160	116	265	-2	45	103	45	38	5625	263	189	137
BIL	146.7199	-35.68656	554	160	31	105	21	109	59	168	155	284	29	85	129	224	45	5531	313	226	94
Bis	41.015083	37.876556	534	215	1	6	70	10	81	231	166	395	-4	48	132	283	33	9232	391	284	99
BLA	138.72092	-34.86304	606	235	20	62	47	69	84	241	160	227	61	108	111	211	48	4099	288	212	116
BLY1	138.51874	-33.842583	508	191	18	59	43	61	69	191	155	265	41	96	133	215	50	4690	306	215	96
BLY2	138.51167	-33.83361	483	180	18	58	41	60	65	180	157	263	43	98	133	216	50	4692	306	217	98
Bos	1.40576	38.88662	443	126	3	38	52	71	75	189	174	219	69	114	77	237	35	5055	288	242	155
Bou	1.2818	38.9674	455	128	4	40	52	75	77	194	174	222	68	113	78	238	35	5103	290	243	155
BRO1	146.66711	-35.823994	558	165	29	102	22	108	61	170	153	283	28	83	128	222	45	5527	311	225	93
BRO2	146.6679	-35.824123	558	165	29	102	22	108	61	170	153	283	28	83	128	222	45	5527	311	225	93
BRO3	146.66844	-35.824123	558	165	29	102	22	108	61	170	153	283	28	83	128	222	45	5527	311	225	93
BRO4	146.7199	-35.68656	554	160	31	105	21	109	59	168	155	284	29	85	129	224	45	5531	313	226	94
BRT	143.69061	-36.093254	406	117	24	75	21	75	45	126	156	269	38	93	128	220	47	4940	307	220	123
Bsta24	-17.197315	28.18811	338	131	0	3	86	8	72	191	191	150	126	160	68	220	45	2671	276	228	169
Bsta25	-13.564789	29.060146	164	92	0	1	88	5	35	93	182	148	116	151	69	211	46	2662	264	217	160
BUR	139.02888	-33.71417	348	123	17	53	34	54	43	125	150	268	35	90	135	210	50	4814	303	212	97
BVZBen	0.47953	42.12618	755	151	46	151	19	190	85	229	104	265	-15	30	99	30	37	5886	250	180	124
BVZCel	146.16417	-35.33417	451	119	28	95	16	102	47	131	163	294	33	92	135	206	45	5603	327	236	126
BVZRei	-0.78688	42.56319	748	194	39	150	16	154	78	215	108	258	-7	39	102	180	39	5523	251	180	75
BYO1	138.65099	-31.484837	389	135	18	66	36	75	52	152	168	304	25	93	145	211	47	5799	329	242	102
BYO2	138.65111	-31.48516	389	135	18	66	36	75	52	152	168	304	25	93	145	211	47	5799	329	242	102
BYO3	138.65135	-31.485678	389	135	18	66	36	75	52	152	168	304	25	93	145	211	47	5799	329	242	102
Ca1	-117.004395	32.731842	283	141	1	5	86	9	55	156	175	219	69	135	119	215	54	3442	288	223	137
Ca10	-122.612915	37.94853	1047	549	2	13	88	19	214	559	130	196	42	89	107	170	54	3382	238	174	95
Ca11	-121.70654	39.487083	647	338	1	14	83	14	134	338	164	331	22	82	147	246	44	6462	353	246	82
Ca12	-121.59668	39.010647	504	257	1	8	83	8	101	259	166	327	28	85	146	246	44	6334	355	246	89
Ca13	-121.82739	38.625454	496	271	1	7	89	7	109	271	161	329	24	82	155	238	47	6169	353	238	82
Ca14	-121.70654	38.389034	446	250	1	5	89	9	101	250	157	305	28	82	145	225	47	5699	333	226	82
Ca15	-121.30005	38.414864	455	239	1	7	87	9	98	239	159	305	31	84	140	231	45	5861	336	232	84
Ca16	-121.89331	38.289936	473	276	1	5	93	8	114	276	155	287	30	84	135	219	47	5391	317	221	84
Ca18	-121.6626	38.06539	347	185	1	6	86	6	74	185	156	302	24	82	142	224	47	5636	326	224	82
